abstract_id,kg
1,"lkg:Entity_1 rdf:type lkg:Disease .
lkg:Entity_1 lkg:containsEntity lkg:DRSBox_1 .
lkg:DRSBox_1 rdf:type lkg:DRSBox .

lkg:Entity_2 rdf:type lkg:Disease .
lkg:Entity_2 lkg:containsEntity lkg:DRSBox_2 .
lkg:DRSBox_2 rdf:type lkg:DRSBox .

lkg:Entity_3 rdf:type lkg:Chemical .
lkg:Entity_3 lkg:containsEntity lkg:DRSBox_3 .
lkg:DRSBox_3 rdf:type lkg:DRSBox .

lkg:Entity_4 rdf:type lkg:Chemical .
lkg:Entity_4 lkg:containsEntity lkg:DRSBox_4 .
lkg:DRSBox_4 rdf:type lkg:DRSBox .

@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix lkg: <http://example.org/lkg#> .

_:b0 a lkg:DRSBox ;
    lkg:containsEntity ""Chemical_MESH_D000093542"" ;
    lkg:containsEntity ""Disease_MESH_D010190"" ;
    lkg:containsStatement _:s0 .

_:s0 a rdf:Statement ;
    rdf:subject ""Chemical_MESH_D000093542"" ;
    rdf:predicate lkg:treat ;
    rdf:object ""Disease_MESH_D010190"" .

_:b1 a lkg:DRSBox ;
    lkg:containsEntity ""Chemical_MESH_C000627770"" ;
    lkg:containsEntity ""Disease_MESH_D010190"" ;
    lkg:containsStatement _:s1 .

_:s1 a rdf:Statement ;
    rdf:subject ""Chemical_MESH_C000627770"" ;
    rdf:predicate lkg:treat ;
    rdf:object ""Disease_MESH_D010190"" ."
2,@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix lkg: <http://example.org/lkg#> .

lkg:Gene_3835 rdf:type lkg:Gene .
lkg:DRSBox_1 rdf:type lkg:DRSBox .
lkg:DRSBox_1 lkg:containsEntity lkg:Gene_3835 .

lkg:Disease_MESH_D010190 rdf:type lkg:Disease .
lkg:DRSBox_2 rdf:type lkg:DRSBox .
lkg:DRSBox_2 lkg:containsEntity lkg:Disease_MESH_D010190 .

lkg:Chemical_MESH_C070243 rdf:type lkg:Chemical .
lkg:DRSBox_3 rdf:type lkg:DRSBox .
lkg:DRSBox_3 lkg:containsEntity lkg:Chemical_MESH_C070243 .

lkg:Gene_5604 rdf:type lkg:Gene .
lkg:DRSBox_4 rdf:type lkg:DRSBox .
lkg:DRSBox_4 lkg:containsEntity lkg:Gene_5604 .

lkg:Gene_5605 rdf:type lkg:Gene .
lkg:DRSBox_5 rdf:type lkg:DRSBox .
lkg:DRSBox_5 lkg:containsEntity lkg:Gene_5605 .

lkg:Gene_5595 rdf:type lkg:Gene .
lkg:DRSBox_1 rdf:type lkg:DRSBox .
